Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
9/28/2018,707,707.95,681,682.65,683.1,131700,910.52
9/27/2018,716.8,723.5,691.1,697.8,697.15,156222,1104.25
9/26/2018,720,724.4,709,710,711.6,71780,513.48
9/25/2018,725,725,710.5,715,718.15,93181,668.03
9/24/2018,725.3,728,712,721,721.9,126374,911.15
9/21/2018,756,758.8,710.15,710.35,717.4,574166,4219.67
9/19/2018,757.85,757.85,732,735.5,736.15,166391,1233.61
9/18/2018,778.7,784,755.4,756,757.85,174974,1339.8
9/17/2018,731,782.9,731,781,778.7,568560,4371.59
9/14/2018,731.15,741.05,728.3,729.75,730.7,100247,735.19
9/12/2018,730.2,733,716,731.9,731.15,93310,675.61
9/11/2018,736.6,741,731.7,735,733.35,57439,423.16
9/10/2018,736,738.2,731,734.05,735.1,53647,394.15
9/7/2018,737,740,731.25,735,735.8,62646,460.71
9/6/2018,731.8,743,731.8,736.5,737.75,48798,359.99
9/5/2018,735,735.7,727.8,730.2,730.05,90599,662.1
9/4/2018,748,749.1,734.7,735,737.75,89862,664.58
9/3/2018,745.7,757.5,743.75,744,746.15,116646,874.07
8/31/2018,735,745,733.05,739.8,739.8,98804,728.14
8/30/2018,737.7,740,733.75,734,734.65,86717,638.41
8/29/2018,749,751.05,734.4,735.9,736.9,137072,1011.21
8/28/2018,753.15,760,741.05,743.2,745.7,100223,752.9
8/27/2018,746,754.5,745,749.9,749.85,74293,556.63
8/24/2018,740.7,754.9,736.2,746.95,747.5,108011,804.6
8/23/2018,752.1,752.1,737.25,738.1,738.9,120368,891.82
8/21/2018,751.4,751.4,741.2,742.95,743.45,97122,722.63
8/20/2018,760,762,745,746,747.3,154854,1162.83
8/17/2018,764,764,752.5,758.9,759,92738,702.98
8/16/2018,771.5,771.5,756,757.8,758.4,142953,1086.96
8/14/2018,779,780.35,770.05,770.85,771.9,81147,626.43
8/13/2018,782,783.95,775,779,777.5,82550,641.92
